"State","Region","Division","pop","DATE","Infected","Death"
"Kansas","Midwest","West North Central",2911505,2020-05-09,6920,172
"Kansas","Midwest","West North Central",2911505,2020-05-08,6749,167
"Kansas","Midwest","West North Central",2911505,2020-05-07,6238,164
"Kansas","Midwest","West North Central",2911505,2020-05-06,5891,163
"Kansas","Midwest","West North Central",2911505,2020-05-05,5624,160
"Kansas","Midwest","West North Central",2911505,2020-05-04,5383,154
"Kansas","Midwest","West North Central",2911505,2020-05-03,5175,142
"Kansas","Midwest","West North Central",2911505,2020-05-02,4861,140
"Kansas","Midwest","West North Central",2911505,2020-05-01,4507,136
"Kansas","Midwest","West North Central",2911505,2020-04-30,4303,133
"Kansas","Midwest","West North Central",2911505,2020-04-29,3809,132
"Kansas","Midwest","West North Central",2911505,2020-04-28,3598,127
"Kansas","Midwest","West North Central",2911505,2020-04-27,3405,126
"Kansas","Midwest","West North Central",2911505,2020-04-26,3197,120
"Kansas","Midwest","West North Central",2911505,2020-04-25,3090,119
"Kansas","Midwest","West North Central",2911505,2020-04-24,2841,117
"Kansas","Midwest","West North Central",2911505,2020-04-23,2625,112
"Kansas","Midwest","West North Central",2911505,2020-04-22,2290,111
"Kansas","Midwest","West North Central",2911505,2020-04-21,2113,107
"Kansas","Midwest","West North Central",2911505,2020-04-20,2029,101
"Kansas","Midwest","West North Central",2911505,2020-04-19,1896,94
"Kansas","Midwest","West North Central",2911505,2020-04-18,1819,85
"Kansas","Midwest","West North Central",2911505,2020-04-17,1730,83
