"State","Region","Division","pop","DATE","Infected","Death"
"Kansas","Midwest","West North Central",2911505,2020-06-01,10095,212
"Kansas","Midwest","West North Central",2911505,2020-05-31,9872,211
"Kansas","Midwest","West North Central",2911505,2020-05-30,9840,209
"Kansas","Midwest","West North Central",2911505,2020-05-29,9820,209
"Kansas","Midwest","West North Central",2911505,2020-05-28,9511,209
"Kansas","Midwest","West North Central",2911505,2020-05-27,9451,207
"Kansas","Midwest","West North Central",2911505,2020-05-26,9349,204
"Kansas","Midwest","West North Central",2911505,2020-05-25,9269,201
"Kansas","Midwest","West North Central",2911505,2020-05-24,9130,200
"Kansas","Midwest","West North Central",2911505,2020-05-23,9114,200
"Kansas","Midwest","West North Central",2911505,2020-05-22,9064,200
"Kansas","Midwest","West North Central",2911505,2020-05-21,8767,199
"Kansas","Midwest","West North Central",2911505,2020-05-20,8657,197
"Kansas","Midwest","West North Central",2911505,2020-05-19,8485,193
"Kansas","Midwest","West North Central",2911505,2020-05-18,8435,190
"Kansas","Midwest","West North Central",2911505,2020-05-17,8064,189
"Kansas","Midwest","West North Central",2911505,2020-05-16,8057,189
"Kansas","Midwest","West North Central",2911505,2020-05-15,8005,187
"Kansas","Midwest","West North Central",2911505,2020-05-14,7668,181
"Kansas","Midwest","West North Central",2911505,2020-05-13,7552,179
"Kansas","Midwest","West North Central",2911505,2020-05-12,7350,178
"Kansas","Midwest","West North Central",2911505,2020-05-11,7159,174
"Kansas","Midwest","West North Central",2911505,2020-05-10,7041,172
